key,English,Assamese,Bengali,Bhojpuri,Gujarati,Haryanvi,Hindi,Kannada,Malayalam,Marathi,Telugu,Odia,Punjabi,Rajasthani,Tamil,Urdu,
end_live_stream_viewer_header,Leave Sharechat Live?,শ্বেয়াৰচাট লাইভ এৰিব বিচাৰিছে?,শেয়ারচ্যাট লাইভ লিভ করতে চান? ,शेयरचैट लाइव छोड़ीं?,શેરચેટ લાઇવ છોડવું છે?,शेयरचैट लाइव छोड़ें?,शेयरचैट लाइव छोड़ें?,ಶೇರ್‌ಚಾಟ್ ಲೈವ್ ತೊರೆಯಲು ಬಯಸುವಿರಾ?,ഷെയർചാറ്റ് ലൈവ് ലീവ് ചെയ്യണോ?,शेअरचॅट लाईव्ह सोडायचे?,షేర్​చాట్ లైవ్​ వీడాలా?,ଶେୟରଚେଟ୍ ଲାଇଭ୍‌ରୁ ବାହାରି‌ଯାଆନ୍ତୁ,ਸ਼ੇਅਰਚੈਟ ਲਾਈਵ ਛੱਡੋ?,शेयरचैट लाइव छोड़ो?,ஷேர்சாட் லைவில் இருந்து வெளியேற வேண்டுமா?,شیئر چیٹ لائیو چھوڑیں؟,
end_live_stream_desc,Are you sure you want to end this livestream?,সঁচাকৈয়ে আপুনি এই লাইভষ্ট্ৰীমটো শেষ কৰিব বিচাৰিছে নে?,লাইভস্ট্রিম শেষ করার বিষয়ে আপনি নিশ্চিত? ,का रउवा वाकई इ लाइवस्ट्रीम के खत्म करल चाहत बानी?,શું તમે ખરેખર આ લાઇવસ્ટ્રીમ પૂરું કરવા માંગો છો?,के थाम वाकई इस लाइवस्ट्रीम नै खत्म करणा चाहो सो?,क्या आप वाकई इस लाइवस्ट्रीम को खत्म करना चाहते हैं?,ಈ ಲೈವ್‌ಸ್ಟ್ರೀಮ್ ಅನ್ನು ಕೊನೆಗೊಳಿಸಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?,നിങ്ങൾക്ക് ഈ  ലൈവ് സ്ട്രീം അവസാനിപ്പിക്കണം എന്നുറപ്പാണോ?,तुम्‍हाला खात्री आहे की तुम्‍हाला हे लाईव्हस्ट्रीम संपवायचे आहे?,మీరు నిజంగానే ఈ లైవ్​స్ట్రీమ్ ముగించాలని నిర్ణయించుకున్నారా?,ଆପଣ ନିଶ୍ଚିତ କି ଆପଣ ଏହି ଲାଇଭଷ୍ଟ୍ରୀମକୁ ଶେଷ କରିବାକୁ ଚାହୁଁଛନ୍ତି?,ਕੀ ਤੁਸੀਂ ਯਕੀਨੀ ਤੌਰ 'ਤੇ ਇਸ ਲਾਈਵਸਟ੍ਰੀਮ ਨੂੰ ਖ਼ਤਮ ਕਰਨਾ ਚਾਹੁੰਦੇ ਹੋ?,कांई आप वाकई इ लाइवस्ट्रीम ने खत्म करणो चाहो हो?,இந்த லைவ்ஸ்ட்ரீமை நிச்சயமாக முடிக்க விரும்புகிறீர்களா?,کیا آپ واقعی اس لائیواسٹریم کو ختم کرنا چاہتے ہیں؟,
end_live_stream_viewer_sub_header,Are you sure you want to stop watching Sharechat Live?,সঁচাকৈয়ে আপুনি শ্বেয়াৰচাট লাইভ চোৱা বন্ধ কৰিব বিচাৰিছে নে?,"শেয়ারচ্যাট লাইভ দেখবেন না, আপনি নিশ্চিত তো?",का रउवा वाकई शेयरचैट लाइव देखल बंद करल चाहत बानी?,શું તમે ખરેખર શેરચેટ લાઈવ જોવાનું બંધ કરવા માંગો છો?,के थाम वाकई शेयरचैट लाइव देखणा बंद करणा चाहो सो?,क्या आप वाकई शेयरचैट लाइव देखना बंद करना चाहते हैं?,ಶೇರ್‌ಚಾಟ್ ಲೈವ್ ವೀಕ್ಷಿಸುವುದನ್ನು ನಿಲ್ಲಿಸಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?,ഷെയർചാറ്റ് ലൈവ് കാണുന്നത് അവസാനിപ്പിക്കണം എന്നുറപ്പാണോ?,तुमची खात्री आहे की तुम्ही शेअरचॅट लाईव्ह पाहणे थांबवू इच्छिता?,మీరు నిజంగానే షేర్​చాట్​ లైవ్​ చూడటం ముగించాలనుకుంటున్నారా?,ଆପଣ ନିଶ୍ଚିତ କି ଆପଣ ଶେୟରଚେଟ୍ ଲାଇଭ୍ ଦେଖିବା ବନ୍ଦ କରିବାକୁ ଚାହୁଁଛନ୍ତି?,ਕੀ ਤੁਸੀਂ ਯਕੀਨੀ ਤੌਰ 'ਤੇ ਸ਼ੇਅਰਚੈਟ ਲਾਈਵ ਦੇਖਣਾ ਬੰਦ ਕਰਨਾ ਚਾਹੁੰਦੇ ਹੋ?,कांई आप वाकई शेयरचैट लाइव देखणो बंद करणो चाहो हो?,ஷேர்சாட் லைவ் பார்ப்பதை நிறுத்த வேண்டுமா?,کیا آپ واقعی شیئرچیٹ لائیو دیکھنا بند کرنا چاہتے ہیں؟,
end_live_stream_host_sub_header,%s users are watching the live streaming,%s ইউজাৰ্চে লাইভ ষ্ট্ৰীমিং চাই আছে,%s ইউজাররা লাইভ স্ট্রিমিং দেখছেন ,%s यूजर्स लाइव स्ट्रीमिंग देख रहल बाड़ं,%s યુઝર્સ લાઇવ સ્ટ્રીમિંગ જોઈ રહ્યાં છે,%s यूजर्स लाइव स्ट्रीमिंग देखण लाग रहे सै,%s यूजर्स लाइव स्ट्रीमिंग देख रहे हैं,%s ಯೂಸರ್ಸ್ ಲೈವ್ ಸ್ಟ್ರೀಮಿಂಗ್ ವೀಕ್ಷಿಸುತ್ತಿದ್ದಾರೆ,%s യൂസേഴ്സ് ആണ് ലൈവ്  സ്ട്രീമിംഗ് കാണുന്നത്,%s युझर्स लाईव्हस्ट्रीमिंग पाहत आहेत,%s యూజర్లు లైవ్​ స్ట్రీమింగ్ చూస్తున్నారు,%s ୟୁଜର ଲାଇଭ୍ ଷ୍ଟ୍ରୀମିଂ ଦେଖୁଛନ୍ତି,%s ਯੂਜ਼ਰਸ ਲਾਈਵ ਸਟ੍ਰੀਮਿੰਗ ਦੇਖ ਰਹੇ ਹਨ,%s यूजर्स लाइव स्ट्रीमिंग देख रिया है,%s பயனர்கள் லைவ் ஸ்ட்ரீமிங்கைப் பார்க்கிறார்கள்,%s یوزرس لائیو اسٹریمنگ دیکھ رہے ہیں,
end_live_stream_host_single_viewer_sub_header,%s user is watching the live streaming,%s ইউজাৰে লাইভ ষ্ট্ৰীমিং চাই আছে,%s ইউজার লাইভ স্ট্রিমিং দেখছেন,%s यूजर लाइव स्ट्रीमिंग देख रहल बाड़ं,%s યુઝર્સ લાઇવ સ્ટ્રીમિંગ જોઈ રહ્યો છે,%sयूजर्स लाइव स्ट्रीमिंग देखण लाग रहे सै ,%s यूजर लाइव स्ट्रीमिंग देख रहा है,%s ಯೂಸರ್ಸ್ ಲೈವ್ ಸ್ಟ್ರೀಮಿಂಗ್ ವೀಕ್ಷಿಸುತ್ತಿದ್ದಾರೆ,%s യൂസേഴ്സ് ലൈവ്  സ്ട്രീമിംഗ് കാണുന്നു,%s युझर लाईव्हस्ट्रीमिंग पाहत आहेत,%s యూజర్ లైవ్​ స్ట్రీమింగ్ చూస్తున్నారు,%s ୟୁଜର ଏହି ଲାଇଭ୍ ଷ୍ଟ୍ରୀମିଂ ଦେଖୁଛନ୍ତି,%s ਯੂਜ਼ਰਸ ਲਾਈਵ ਸਟ੍ਰੀਮਿੰਗ ਦੇਖ ਰਿਹਾ ਹੈ,%s यूजर लाइव स्ट्रीमिंग देख रिया है,%s பயனர் லைவ் ஸ்ட்ரீமிங்கைப் பார்க்கிறார்,%s یوزر لائیو اسٹریمنگ دیکھ رہے ہیں,
potential_co_host_left,has left the live ,লাইভ এৰি গৈছে,লাইভ ছেড়ে বেরিয়ে গিয়েছেন ,लाइव छोड़ दिहलन,લાઇવ છોડી દીધું છે,नै लाइव छोड़ दिया सै ,ने लाइव छोड़ दिया है,ಲೈವ್ ತೊರೆದಿದ್ದಾರೆ,ലൈവ് ലെഫ്റ്റ് ആയി,ने लाईव्ह सोडले आहे,లైవ్​ను వీడారు,ଲାଇଭ୍ ଛାଡ଼ି ପଳାଛନ୍ତି,ਲਾਈਵ ਛੱਡ ਦਿੱਤਾ ਹੈ,ने लाइव छोड़ दियो है,லைவில் இருந்து வெளியேறிவிட்டார் ,لائیو چھوڑ دیا ہے,
co_host_visible_to_audience,\@%1$s is now visible to your audience,@%1$s-ক এতিয়া আপোনাৰ দৰ্শক চাব পাৰিব,\@%1$s কে আপনার দর্শকরা দেখতে পাচ্ছেন ,\@%1$s अब राउर ऑडियंस खातिर विज़िबल बा,\@%1$s ને હવે તમારી ઓડિયન્સ જોઇ શકે છે,\@%1$s ईब थारी ऑडियंस खात्तर विज़िबल सै,\@%1$s अब आपकी ऑडियंस के लिए विज़िबल है,ನಿಮ್ಮ ಪ್ರೇಕ್ಷಕರು ಈಗ @%1$ ಅನ್ನು ವೀಕ್ಷಿಸಬಹುದು,നിങ്ങളുടെ ഓഡിയൻസിന് \@%1$s ഇപ്പോൾ വിസിബിൾ ആണ്.,\@%1$s आता तुमच्या प्रेक्षकांसाठी व्हिजिबल आहे,\@%1$s ఇప్పుడు మీ ఆడియన్స్​కు కనిపిస్తుంది,\@%1$s ଏବେ ଆପଣଙ୍କ ଦର୍ଶକଙ୍କ ପାଇଁ ଭିଜିବଲ ହେଉଛି,\@%1$s ਹੁਣ ਤੁਹਾਡੀ ਆਡੀਅੰਸ ਲਈ ਵਿਜ਼ੀਬਲ ਹੈ,\@%1$s अब आपरी ऑडियंस खातिर विज़िबल है,\@%1$s இப்போது உங்கள் பார்வையாளர்களுக்குத் தெரியும்,\@%1$s اب آپ کے ناظرین کے لیے ویزیبل ہے,
co_host_preview_auto_accepted,"Preview auto accepted, \@%1$s is now visible to your audience","প্ৰীভিউ অটো এক্সপ্টেড হৈ আছে, \@%1$s -ক এতিয়া আপোনাৰ দৰ্শক চাব পাৰিব","প্রিভিউ নিজের থেকে অ্যাক্সেপ্ট হয়ে গিয়েছে, \@%1$s কে আপনার দর্শকরা দেখতে পাচ্ছেন ",प्रिव्यू ऑटो स्वीकार कर लिहल गइल बा \@%1$s अब राउर ऑडियंस खातिर विज़िबल बा,પ્રિવ્યૂ આપમેળે સ્વિકરી લેવાયું છે: \@%1$s ને હવે તમારી ઓડિયન્સ જોઇ શકે છે,"प्रिव्यू ऑटो स्वीकार कर लिया गया सै, \@%1$s ईब थारी ऑडियंस खात्तर विज़िबल सै","प्रिव्यू ऑटो स्वीकार कर लिया गया है, \@%1$s अब आपकी ऑडियंस के लिए विज़िबल है","ಪ್ರಿವೀವ್ ಸ್ವಯಂ ಸ್ವೀಕರಿಸಲಾಗಿದೆ, \@%1$s ಈಗ ನಿಮ್ಮ ಪ್ರೇಕ್ಷಕರಿಗೆ ಗೋಚರಿಸುತ್ತದೆ","പ്രിവ്യൂ ഓട്ടോമാറ്റിക്കായി ആക്സെപ്റ്റ് ആയി, \@%1$s ഇപ്പോൾ നിങ്ങളുടെ ഓഡിയൻസിന് വിസിബിൾ ആണ്. ","प्रिव्ह्यू स्वीकारले गेले आहे, \@%1$s आता आपल्या प्रेक्षकांना व्हिजिबल आहे","ప్రివ్యూ ఆటో ఆమోదించబడింది, \@%1$s ఇప్పుడు మీ ప్రేక్షకులకు కనిపిస్తుంది","ପ୍ରିଭ୍ୟୁ ଅଟୋମେଟିକ୍ ଆସେପ୍ଟ ହୋଇଯିବ, \@%1$s ଏବେ ଆପଣଙ୍କ ଦର୍ଶକଙ୍କ ପାଇଁ ଭିଜିବଲ ହେଉଛି","ਪ੍ਰੀਵਿਉ ਆਟੋ ਸਵੀਕਾਰ ਕੀਤਾ ਗਿਆ, \@%1$s ਹੁਣ ਤੁਹਾਡੇ ਆਡੀਅੰਸ ਲਈ ਵਿਜ਼ੀਬਲ ਹੈ","प्रिव्यू ऑटो स्वीकार कर लियो गयो है, \@%1$s अब आपरी ऑडियंस खातिर विज़िबल है","முன்னோட்டம் தானாக ஏற்றுக்கொள்ளப்பட்டது, \@%1$s இப்போது உங்கள் பார்வையாளர்களுக்குத் தெரியும்",پریویو خودکار طور پر قبول کر لیا گیا ہے، \@%1$s اب آپ کے سامعین کے لیے ویزیبل ہے,
co_host_has_left_the_live,\@%1$s has left the live,@%1$s -এ লাইভ এৰি গৈছে,\@%1$s লাইভ ছেড়ে বেরিয়ে গিয়েছেন ,\@%1$s लाइव छोड़ दिहले बाड़ं,\@%1$s એ લાઇવ છોડી દીધું છે,\@%1$s नै लाइव छोड़ दिया सै,\@%1$s ने लाइव छोड़ दिया है,\@%1$s ಅವರು ಲೈವ್ ತೊರೆದಿದ್ದಾರೆ,\@%1$s ലൈവ് ലെഫ്റ്റ് ആയിരിക്കുന്നു,\@%1$s ने लाईव्ह सोडले आहे,\@%1$s లైవ్​ను వీడారు,\@%1$s ଲାଇଭ୍ ଛାଡ଼ିଦେଇଛନ୍ତି,\@%1$s ਨੇ ਲਾਈਵ ਛੱਡ ਦਿੱਤਾ ਹੈ,\@%1$s ने लाइव छोड़ दियो है,\@%1$s லைவிலிருந்து வெளியேறினார்,\@%1$s نے لائیو چھوڑ دیا ہے,
co_host_s_preview,Co-Host\'s Preview,সহ-হোষ্ট প্ৰীভিউ,সহকারি-হোস্টের প্রিভিউ ,को-होस्ट\ प्रिव्यू ,કો-હોસ્ટ\ નું પ્રિવ્યૂ,को-होस्ट\ प्रिव्यू,को-होस्ट\ प्रिव्यू ,ಕೋ-ಹೋಸ್ಟ್‌ನ ಪ್ರಿವೀವ್,കോ - ഹോസ്റ്റ്/ന്റെ പ്രീവ്യൂ ,को-होस्ट/प्रिव्ह्यू ,కో-హోస్ట్​ ప్రివ్యూ,କୋ-ହୋଷ୍ଟ\ଙ୍କ ପ୍ରିଭ୍ୟୁ,ਕੋ ਹੋਸਟ\ਪ੍ਰੀਵਿਉ ,को-होस्ट\ प्रिव्यू,கோ-ஹோஸ்டின் முன்னோட்டம்,کو ہوسٹ کا پریویو,
host_removed_you_from_live,Host removed you from Live,হোষ্টে আপোনাক লাইভৰ পৰা ৰিমুভ কৰিছে,হোস্ট আপনাকে লাইভ থেকে রিমুভ করেছেন ,होस्ट रउवा के लाइव से हटा दिहले बाड़ं,હોસ્ટે તમને લાઇવમાંથી દૂર કર્યા છે,होस्ट नै थाम लाइव तै हटा दिये सो,होस्ट ने आपको लाइव से हटा दिया,ಹೋಸ್ಟ್ ನಿಮ್ಮನ್ನು ಲೈವ್‌ನಿಂದ ತೆಗೆದುಹಾಕಿದ್ದಾರೆ,ലൈവിൽ നിന്നും നിങ്ങളെ ഹോസ്റ്റ് റിമൂവ് ചെയ്തിരിക്കുന്നു,होस्टने तुम्हाला लाईव्हमधून काढले,హోస్ట్ మిమ్మల్ని లైవ్​నుంచి తొలగించారు,ହୋଷ୍ଟ ଆପଣଙ୍କୁ ଲାଇଭରୁ ହଟାଇଦେଲେ,ਹੋਸਟ ਨੇ ਤੁਹਾਨੂੰ ਲਾਈਵ ਤੋਂ ਹਟਾ ਦਿੱਤਾ ਹੈ,होस्ट आप ने लाइव स्यूं हटा दियो है,ஹோஸ்ட் உங்களை லைவில் இருந்து அகற்றினார்,ہوسٹ نے آپ کو لائیو سے ہٹا دیا ہے,
new_co_host_trying_to_join_live,New cohost trying to join the live. Exit PIP to view,নতুন সহ-হোষ্টে লাইভত জইন কৰাৰ চেষ্টা কৰি আছে। চাবলৈ PIPৰ পৰা ওলাই আহক,নতুন সহকারি-হোস্ট লাইভে যোগ দেওয়ার চেষ্টা করছেন। দেখার জন্য PIP থেকে বেরিয়ে যান ,नया को-होस्ट लाइव के जॉइन कइले के प्रयास कर रहल बाड़ं। देखे खातिर PIP से बाहर निकलीं,નવા કો-હોસ્ટ લાઇવમાં જોડાવાનો પ્રયાસ કરી રહ્યાં છે. જોવા માટે PIP થી બહાર નીકળો,"
नया को-होस्ट लाइव ज्वाइन करण की कोशिश करण लाग रहा सै। देखण खात्तर PIP तै बाहर निकलो  ",नया को-होस्ट लाइव को जॉइन करने का प्रयास कर रहा है। देखने के लिए PIP से बाहर निकलें,ಹೊಸ ಕೋಹೋಸ್ಟ್ ಲೈವ್‌ಗೆ ಜಾಯಿನ್ ಆಗಲು ಪ್ರಯತ್ನಿಸುತ್ತಿದ್ದಾರೆ. ವೀಕ್ಷಿಸಲು PIP ಯಿಂದ ನಿರ್ಗಮಿಸಿ,പുതിയ കോ - ഹോസ്റ്റ് ലൈവിൽ ജോയിൻ ചെയ്യാൻ ട്രൈ ചെയ്യുന്നു. കാണാനായി PIP-ൽ നിന്ന്  എക്സിറ്റ് ആകൂ,नवीन को-होस्ट लाईव्हमध्ये सामील होण्याचा प्रयत्न करत आहे. पाहण्यासाठी PIP मधून बाहेर पडा,ఇప్పుడు కో-హోస్ట్ లైవ్​లో జాయిన్ అయ్యేందుకు ప్రయత్నిస్తున్నారు. చూసేందుకు PIP నుంచి ఎగ్జిట్ అవండి,ଲାଇଭରେ ଜଏନ୍ କରିବାକୁ ଚେଷ୍ଟା କରୁଥିବା ନୂଆ କୋ-ହୋଷ୍ଟ। ଦେଖିବା ପାଇଁ PIP ଛାଡ଼ନ୍ତୁ।,ਨਵਾਂ ਕੋ-ਹੋਸਟ ਲਾਈਵ ਵਿੱਚ ਸ਼ਾਮਲ ਹੋਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰ ਰਿਹਾ ਹੈ। ਦੇਖਣ ਲਈ PIP ਤੋਂ ਬਾਹਰ ਜਾਓ,नयो को-होस्ट लाइव ने जॉइन करबा की कोशिश कर रियो है। देखबा खतिर PIP स्यूं बाहर निकळो,புதிய கோ-ஹோஸ்ட் நேரலையில் சேர முயற்சிக்கிறார். பார்க்க PIP'ஐ விட்டு வெளியேறவும்,نیا کو ہوسٹ لائیو میں شامل ہونے کی کوشش کر رہا ہے۔ دیکھنے کے لیے PIP سے باہر نکلیں,
co_host_auto_accepted_due_to_no_response,Cohost auto-accepted due to no response,কোনো সঁহাৰি নোপোৱাৰ বাবে সহ-হোষ্টে নিজে এক্সেপ্ট কৰিছে,কোনও প্রতিক্রিয়া না পাওয়ার জন্য সহকারি-হোস্টকে নিজের থেকেই অ্যাক্সেপ্ট করা হয়েছে,कवनो प्रतिक्रिया ना होखला के कारण को होस्ट के खुद से स्वीकार कर लिहल गइल बा,કોઈ જવાબ ન મળવાને કારણે કોહોસ્ટનો ઓટો સ્વીકાર કરી લેવાયો છે,कोई प्रतिक्रिया नहीं होण के कारण कोहोस्ट ऑटो- स्वीकार कर लिया गया सै ,कोई प्रतिक्रिया नहीं होने के कारण कोहोस्ट को खुद से स्वीकार कर लिया गया है,ಯಾವುದೇ ಪ್ರತಿಕ್ರಿಯೆಯಿಲ್ಲದ ಕಾರಣ ಕೋಹೋಸ್ಟ್ ಗೆ ಸ್ವಯಂ-ಸಮ್ಮತಿಸಲಾಗಿದೆ,പ്രതികരണമില്ലാത്തതിനാൽ കോ- ഹോസ്റ്റ് ഓട്ടോമാറ്റിക്കായി ആക്സപ്റ്റ് ആയി,प्रतिसाद न मिळाल्यामुळे को-होस्टला ऑटोमॅटिक स्वीकारले गेले ,ప్రతిస్పందన లేకపోవడం వల్ల కో-హోస్ట్​ ఆటోమేటిగ్​గా ఆమోదించబడింది,କୌଣସି ରିଆକ୍ସନ୍‌ ନଥିବାରୁ କୋ-ହଷ୍ଟ ଅଟୋ-ଆସେପ୍ଟେଡ୍,ਕੋਈ ਜਵਾਬ ਨਾ ਮਿਲਣ ਕਾਰਨ ਕੋ-ਹੋਸਟ ਨੂੰ ਆਟੋ-ਸਵੀਕਾਰ ਕੀਤਾ ਗਿਆ,कोई प्रतिक्रिया कोनि होबा के कारण को होस्ट ने खुद स्यूं स्वीकार कर लियो है,பதில் இல்லாததால் கோ-ஹோஸ்ட் தானாக ஏற்கப்பட்டது,کوئی جواب نہ آنے کی وجہ سے کو ہوسٹ کو خودکار طور پر قبول کر لیا گیا ہے,
quit_live_stream,Quit live video with %s,%s সৈতে লাইভ ভিডিঅ' এৰক,%s-এর সঙ্গে লাইভ ভিডিও ছেড়ে বেরিয়ে যান ,%s के साथ लाइव वीडियो खत्म करीं,%s સાથે લાઇવ વિડિઓ પૂરો કરો,%s के गेल लाइव वीडियो खत्म करो,%s के साथ लाइव वीडियो खत्म करें,%s ಜೊತೆಗೆ ಲೈವ್ ವಿಡಿಯೋವನ್ನು ತ್ಯಜಿಸಿ,%s നൊപ്പം ലൈവ്  വീഡിയോ ക്വിറ്റ് ചെയ്യൂ,%s सह चालू असलेला लाईव्ह व्हिडीओ सोडा,%s తో లైవ్ వీడియో​ వీడండి,%s ଙ୍କ ସହିତ ଲାଇଭ୍ ଭିଡିଓରୁ ବାହାରକୁ ଯାଆନ୍ତୁ,%s ਨਾਲ ਲਾਈਵ ਵੀਡੀਓ ਬੰਦ ਕਰੋ,%s रे साथ लाइव वीडियो स्यूं बाहर निकळो,%s உடன் லைவ்  வீடியோவிலிருந்து வெளியேறு,%s کے ساتھ لائیو ویڈیو چھوڑیں,
quit_live_stream_desc,"""Stream will end and you can still continue to watch the live streaming. ""","""ষ্ট্ৰীম শেষ হ'ব আৰু আপুনি এতিয়াও লাইভ ষ্ট্ৰীমিং চোৱা অব্যাহত ৰাখিব পাৰে""","""স্ট্রিম শেষ হয়ে যাবে তবে আপনি এখনও লাইভ স্ট্রিমিং দেখা চালিয়ে যেতে পারবেন।""",स्ट्रीम खत्म हो जाई अउर रउवा अभी भी लाइव स्ट्रीमिंग देखल जारी रख सकेनी।,"""સ્ટ્રીમ સમાપ્ત થઈ જશે છતા પણ તમે લાઇવ સ્ટ્રીમિંગ જોવાનું ચાલુ રાખી શકો છો.""",स्ट्रीम खत्म हो जावैगी अर थाम ईब भी लाइव स्ट्रीमिंग देखणा जारी रख सको सो।,स्ट्रीम खत्म हो जाएगी और आप अभी भी लाइव स्ट्रीमिंग देखना जारी रख सकते हैं।,"ಸ್ಟ್ರೀಮ್ ಕೊನೆಗೊಳ್ಳುತ್ತದೆ ಮತ್ತು ನೀವು ಇನ್ನೂ ಲೈವ್ ಸ್ಟ್ರೀಮಿಂಗ್ ವೀಕ್ಷಿಸುವುದನ್ನು ಮುಂದುವರಿಸಬಹುದು.""","""സ്ട്രീം അവസാനിച്ചാലും, നിങ്ങൾക്ക് ഇപ്പോഴും ലൈവ് സ്ട്രീമിംഗ് കാണുന്നത് തുടരാം.""",स्ट्रीम समाप्त होईल आणि तुम्ही तरीही लाईव्हस्ट्रीमिंग पाहणे सुरू ठेवू शकता.,"""స్ట్రీమ్​ ముగుస్తుంది మరియు మీరు లైవ్​ స్ట్రీమింగ్ చూడటం కొనసాగించవచ్చు""",ଷ୍ଟ୍ରୀମ୍ ସରିଯିବ ଏବଂ ଆପଣ ତଥାପି ଲାଇଭ୍ ଷ୍ଟ୍ରୀମିଂ ଦେଖିବା ଜାରି ରଖିପାରିବେ,ਸਟ੍ਰੀਮ ਖਤਮ ਹੋ ਜਾਵੇਗੀ ਅਤੇ ਤੁਸੀਂ ਅਜੇ ਵੀ ਲਾਈਵ ਸਟ੍ਰੀਮਿੰਗ ਦੇਖਣਾ ਜਾਰੀ ਰੱਖ ਸਕਦੇ ਹੋ।,स्ट्रीम खत्म हो जावेगी और आप अभी भी लाइव स्ट्रीमिंग देखणो जारी राख सको हो।,"""ஸ்ட்ரீம் முடிவடையும், நீங்கள் தொடர்ந்து லைவ் ஸ்ட்ரீமிங்கைப் பார்க்கலாம்.""","""اسٹریم ختم ہو جائے گا، تب بھی آپ لائیو اسٹریمنگ دیکھنا جاری رکھ سکتے ہیں۔""",
streaming_on_pause,Your live streaming is on pause,আপোনাৰ লাইভ ষ্ট্ৰীমিং মাজতে ৰৈ গৈছে,আপনার লাাইভ স্ট্রিমিং থেমে গিয়েছে ,राउर लाइव स्ट्रीमिंग रुकल बा,તમારું લાઇવ સ્ટ્રીમિંગ રોકાયેલું છે,थारी लाइव स्ट्रीमिंग रुकी होई सै,आपकी लाइव स्ट्रीमिंग रुकी हुई है,ನಿಮ್ಮ ಲೈವ್ ಸ್ಟ್ರೀಮಿಂಗ್ ಮಧ್ಯದಲ್ಲಿ ನಿಂತಿದೆ,നിങ്ങളുടെ ലൈവ് സ്ട്രീമിംഗ് ഇപ്പോൾ പോസ് ആണ്.,तुमचे लाईव्हस्ट्रीमिंग पॉज केले गेले आहे,మీ లైైవ్​ స్ట్రీమింగ్ పాజ్​లో ఉంది,ଆପଣଙ୍କର ଲାଇଭ୍ ଷ୍ଟ୍ରୀମିଂ ପଜ୍ କରାଯାଇଛି,ਤੁਹਾਡੀ ਲਾਈਵ ਸਟ੍ਰੀਮਿੰਗ ਰੁਕੀ ਹੋਈ ਹੈ,आपरी लाइव स्ट्रीमिंग रुकी हुई है,உங்கள் லைவ் ஸ்ட்ரீமிங் இடைநிறுத்தப்பட்டுள்ளது,آپ کی لائیو سٹریمنگ پاز ہے,
join_back,Join back ,পুনৰ জইন কৰক,আবার জয়েন করুন ,वापस जॉइन करीं,પાછા જોઇન કરો,दोबारा ज्वाइन करो,वापस जॉइन करें,ಮರಳಿ ಜಾಯಿನ್ ಆಗಿ,തിരികെ ജോയിൻ ചെയ്യൂ,पुन्हा जॉईन करा,తిరిగి జాయిన్ అవండి,ପୁଣି ଜଏନ୍‌ କରନ୍ତୁ,ਵਾਪਸ ਸ਼ਾਮਲ ਹੋਵੋ,वापस जॉइन करो,மீண்டும் இணையவும் ,واپس شامل ہوں,
